Machine Name, Content
eagle va,"'Eagle VA' is a single-head capper designed specifically for ROPP aluminum caps on glass and plastic bottles in the wine and spirits, beverage, food, and pharmaceutical industries. With a speed production capacity of up to 50 bottles per minute or 3,000 bottles per hour, this machine is built for efficiency. Its main features include SSD threading heads for secure cap placement, stainless steel components, and a body-guide assembly for easy format changes. Additionally, the Eagle VA can be customized with optional features such as N2 injection devices, cap washing, and UV lamps on the caps chute. It also offers motorized height adjustment, a supplementary hopper, and a caps elevator for seamless operation."
esse,"'Esse' is a crowner for steel and aluminum caps, serving the beverage, food, wine, beer, and champagne industries. It can produce up to 300 bottles per minute or 18,000 bottles per hour. The machine is designed to handle crown corks in stainless steel, aluminum, and iron on glass bottles. Its key features include a mechanical caps elevator, a star-wheel for evenly spacing caps, and a conveyor belt. Additionally, Esse offers quick format changes with the aid of bottle-neck and body-guide assemblies, and can be integrated into a combined structure with a centrifugal or mechanical sorter and/or buffer for enhanced efficiency."
esse pk,"'Esse PK' is a crowner for steel and aluminum caps, specifically designed for use in the beverage, food, wine, and beer industries. Its remarkable production speeds allow for up to 1,000 bottles per minute or 60,000 bottles per hour. This machine is capable of applying steel crown corks on a variety of glass, plastic, and aluminum bottles. Key features include standard, i.e.s. and washable closure spindles, while inox external surfaces and washable components also enable thorough washing of the capping zone. Additional innovative features include a motorized height adjustment, centralized lubrication system, caps elevator, and spring plates for efficient operation."
eagle c,"'Eagle C' is a single-head crowner designed for steel and aluminum caps on glass bottles. It operates at impressive speeds, capable of producing up to 50 bottles per minute or 3,000 bottles per hour. The machine serves the beverage, beer, and champagne industries, and its main features include standard, i.e.s., and washable closure spindles. Additionally, Eagle C offers stainless steel components with external surfaces that can be washed, making it suitable for applications where hygiene is crucial. The machine also features motorized height adjustment, a caps elevator, supplementary hopper, UV/deionization lamp, and dust extraction for enhanced efficiency and cleanliness."
quasar f,"'Quasar F' is a corker designed for use with natural, agglomerated, and synthetic corks in the wine and beer industries. It boasts impressive speeds, capable of processing up to 667 bottles per minute or 40,000 bottles per hour. The machine is specifically designed for mushroom corks and features stainless-steel components that can be washed for complete cleanliness. Additionally, Quasar F offers various features such as a compressing unit heating system, N2 injection device, gas evacuation from the bottle-neck, and automatic die regulation, making it a versatile and efficient corking solution."
quasar rf,"'Quasar RF' is a corker designed for natural, agglomerated, and synthetic corks, serving the wine and beer industries. It boasts impressive speeds, capable of processing up to 667 bottles per minute or 40,000 bottles per hour. The machine is designed to handle various types of corks, including straight and mushroom corks. Its main features include a mechanical caps elevator, a star-wheel for evenly spacing caps, and a conveyor belt. Additionally, Quasar RF offers quick format changes with the aid of caps guides and can be integrated into a combined structure with a centrifugal or mechanical sorter and/or buffer for enhanced efficiency."
quasar r,"'Quasar R' is a corker specifically designed for natural, agglomerated, and synthetic corks used in the production of wine and beer. With a production speed of up to 667 per minute or 40,000 per hour, this machine is capable of handling high-volume corks. It is designed to accommodate straight corks, making it an ideal solution for various corking applications. Additionally, the washable version of Quasar R features stainless-steel components and corklocks, allowing for a complete washing of the corker. Further, this machine offers a range of features, including a compressing unit heating system, N2 injection device, and a gas evacuation system, providing a comprehensive corking experience."
saturno f,"'Saturno F' is a corker designed for natural, agglomerated, and synthetic corks, with a primary focus on the wine industry. Its production speed is impressive, capable of processing up to 500 bottles per minute or 30,000 bottles per hour. The machine is specifically designed to handle mushroom corks. Key features include a compressing unit heating system, automatic die regulation, and N2 injection device, as well as gas evacuation from the bottle-neck and dust extraction. Additionally, the corks feeder/sorter ensures efficient operation."
saturno rf,"'Saturno RF' is a corker designed for natural, agglomerated, and synthetic corks, with a primary focus on the wine industry. Its production speed is impressive, capable of reaching up to 500 bottles per minute or 30,000 bottles per hour. The machine is versatile, handling both straight and mushroom corks. Key features include a compressing unit heating system, automatic die regulation, and N2 injection device, as well as gas evacuation from the bottle-neck and dust extraction. Additionally, the corks feeder/sorter ensures efficient operation."
saturno r,"'Saturno R' is a corker designed for natural, agglomerated, and synthetic corks, with a primary focus on the wine industry. Its production speed is impressive, capable of processing up to 500 bottles per minute or 30,000 bottles per hour. The machine is optimized for straight corks and features a range of innovative technologies, including inox external surfaces, compressing unit heating systems, automatic die regulation, and N2 injection devices. Additionally, Saturno R is equipped with a gas evacuation system, dust extraction, and a corks feeder/sorter for enhanced efficiency and precision."
gemini f,"'Gemini F' is a single-head corker that specializes in natural, agglomerated and synthetic corks for the wine and beer industries. It has impressive production speeds, capable of bottling up to 50 bottles per minute or 3,000 bottles per hour. The machine is designed to handle mushroom corks and features a range of speeds and applications. Its main features include inox external surfaces, compressing unit heating, and N2 injection devices, as well as cap feeder sortsers and motorized height adjustment."
gemini rf,"'Gemini RF' is a single-head corker designed for natural, agglomerated, and synthetic corks in the wine and beer industries. It boasts impressive speeds, capable of producing up to 50 bottles per minute or 3,000 bottles per hour. The machine is designed to handle various types of corks, including straight and mushroom corks. Its main features include a mechanical caps elevator, a star-wheel for evenly spacing caps, and a conveyor belt. Additionally, Gemini RF offers quick format changes with the aid of caps guides and can be integrated into a combined structure with a centrifugal or mechanical sorter and/or buffer for enhanced efficiency."
gemini r,"'Gemini R' is a single-head corker designed for natural, agglomerated, and synthetic corks. The machine excels in the wine and beer industries and can produce at a rate of up to 50 bottles per minute or 3,000 bottles per hour. Its primary application is straight corks. The Gemini R model features inox external surfaces, making it suitable for washing the capping zone. It also comes equipped with a range of advanced features, including a compressing unit heating system, nitrogen injection device, gas evacuation from the bottle-neck, caps feeder and sorter, and motorized height adjustment."
la champenoise,"'La Champenoise' is a combined bidule plugger and crowner designed specifically for the champenoise method. It can produce up to 200 bottles per minute or 12,000 bottles per hour, making it an efficient solution for the wine industry. The machine is capable of handling various types of closures, including bidule plastic pressure caps and steel, stainless steel, and aluminum crown corks on glass bottles. Its monoblock design features a kamma PK turret for bidule caps and an esse turret for crown corks. Additionally, La Champenoise offers customizable options, such as inox external surfaces and washable components, for enhanced hygiene and maintenance. The machine also features ionizer/dust extraction on the caps chute, UV lamp, and motorized height adjustment for added convenience."
reverse,"'Reverse' is a decapper designed specifically for removing pre-threaded plastic and aluminum caps from glass and pet bottles in the beverage and food industries. It boasts impressive speeds, capable of decapping up to 1,000 bottles per minute or 60,000 bottles per hour. The machine effectively handles pre-threaded plastic caps and threaded aluminum caps with its arms featuring hard metal inserts. Additional features include inox external surfaces, allowing for easy washing of the capping zone, as well as quick format changes for containers handling. Furthermore, Reverse offers convenient motorized height adjustment, centralized lubrication, and stainless steel infeed worms for enhanced efficiency."
over,"'Over' is a caps orienting and elevating system that serves various industries, including beverage, food, chemical, pharmaceutical, personal care, and household care. With impressive production speeds, it can handle up to 1,200 cases per minute or 72,000 cases per hour. The system accommodates a range of cap types, such as flat pre-threaded, sport pre-threaded, fragile, and crown corks. Its key features include caps orienting by gravity, exit through a blower, and a 500-liter hopper with a secondary belt. The entire structure is made of stainless steel, with a discharge height of 2,500 mm and an electrical board with a PLC. Optional features include magnetic cleats, hopper sizes of 1,000, 1,500, and 2,000 liters, and a discharge height of 6,000 mm."
flex,"'Flex' is an oriented caps elevator that specializes in the beverage, food, and chemical industries. It boasts impressive speeds, capable of producing up to 1,500 cases per minute or 90,000 cases per hour. The machine is designed to handle various types of caps, including flat pre-threaded and sport pre-threaded caps. Its main features include a mechanical caps elevator, a star-wheel for evenly spacing caps, and a conveyor belt. Additionally, Flex offers quick format changes with the aid of caps guides and can be integrated into a combined structure with a centrifugal or mechanical sorter and/or buffer for enhanced efficiency."
